Name,Nickname,Pos,PA,2024-04-20,2024-05,2024-07-05,2024-08-03,2024-08-05,2024-08-13,2024-08-24,2024-09-09,2024-09-28,2025-10-14,2025-10-18,2025-10-28,2025-11-04,2025-11-23,2025-12-01,2025-12-10,2025-12-16,2026-01-04,2026-01-05,2025-01-17,2025-01-20,2026-03-07,2026-03-21,2026-03-28,2026-03-31,2025-04-27,2026-05-15
Steve Icke,Sticky,GK,122,N/A,,,,,25,,,33,,,,,,,,,,,43,,,,,,48,82
Owen Travis,Rainman,GK,99,N/A,20?,,23,,,,,26,,,,,,,,,,,28,,,,,,32,49
Ben Cavanagh,Cavvers,GK,67,49,,,48,,50,,53,54,,,,,,,,,,,62,,,,,,,
Glenn Ryder,,DC,54,54,,,54,,,,,54,,,,,,,,,,,54,,,,,,,
Carl Carlile,,DCR,77,59,,,58,,,,61,62,,,,,,,,,,,69,,,,,,,
Magnus Evergreen,,"D,DM,M",-2,50,,,,,,50,52,52,,,,,,,,,,,59,,,,,,62,81
Steve Alton,,DCR,53,51,,,53,,,,,53,,,,,,,,,,,53,,,,,,,
Vivek,,DC,66,10-15,,,,,,,,22,,,,,,,,,,,28,,,,,,,
Christian Fierce,,DC,120,N/A,,,,,,,,N/A,,,,,,,,,,,N/A,71,,,,,74,95
Zach Green,,DC,139,N/A,,40,45,,,,49,51,,,,,,,,,,,60,,,,,,64,90
Eddie Moore,,DL,75,48,,,49,,,,52,53,,,,,,,,,,,60,,,,,,,
Cole Adams,,DL,147,N/A,15?,,,,25,,,30,,,,,,,,,,,41,,,,,,44,84
Josh Owens,Throw-Ins,"D,WB,M L",119,N/A,15?,,,,24,,,28,,,,,,,,,,,40,,,,,,43,74
Lee Hudson,,DCR,91,,,,,,,,,N/A,,,,,,,,,,,N/A,,,,,,,91
James Wise,,MC,60,N/A,,,,41,,43,,46,,,,,,,,,,,54,,,,,,,
Andrew Harrison,,MCR,121,34,,,,,,,,43,,,,,,,,,,,50,,,,,,,75
Michael Harrison,,MCR,60-70,12,,,,,,,,23,,,,,,,,,,,29,,,,,,,
Sam Topps,,MC,60,60,,,57,,N/A,,,N/A,,,,,,,,,,,N/A,,,,,,,
Ryan Jack,,MC,151,INJ,,,,,,,,INJ,,,,,,,,,,,55,,,,,,62,75
Aff,Aff,ML,70,60,,,56,,,,60,61,,,,,,,,,,,68,,,,,,,
James Yalley,Youngster,"DM, MC",181,53,,,54,,,,57,57,,,,,,,,,,,68,,,,,,76,104
Omari Naysmith,,MC,103,N/A,20,,,,,,,32,,,,,,,,,,,41,,,,,,42,60
MAX BEST,,OMNI,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wes Hayward,Sharky,AM LR,86,N/A,20,,21-24,2+,,,31,33,,,,,,,,,,,43,,,,,,,80
Dan Badford,,MC,-1,11,,,,,,,,,,,,,,,,,,,,63,,,,,,68
William B. Roberts,Wibbers,FRLC,185,?,,,23,,,,28,29,,,,,,,,,,,42,,,,,,47,79
Pascal Bochum,Spaceman,FRLC,133,49,,,57,,,,,62,,,,,,,,,,,69,,,,,,72,92
Ziggy,Ziggy,S,58,N/A,,33,34-36,,,,,43,,,,,,,,,,,49,,,,,,,
Henri Lyons,,S,90,63,,57?,57,,,57,59,60,,,,,,,,,,,68,,,,,,72,92
Tom Westwood,,S,92,N/A,25,,,,28,,,32,,,,,,,,,,,41,,,,,,43,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calabash Barkley,Bark,RM or AMRC,130,31,,,,,,,,,,,,,,,,,,,,,,,,,,75
Lucas Friend,,DL,62,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Benny,,S,40,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Bulldog,,FRC or AMRC,58,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Harrison,,FRLC,51,?,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Fungrieve,Chas,S,83,,,,,,,,,,,,,29,,,,,,,,,,,,,,
Lee Contreras,,MC,98,,,,,,,,,,,,,,,,,,,,,,,,,,,92
Darren Smith,Dazza,S,138,,,,,75,75,75,,80,,81,,,83,87,,88,,,,,,,,,,97
Foquita,,S,190,,,,,,,,,,,,,,,,,,102,,,,106,106,,,,113
Jamie Brotherhood,,RB,,,,,,,,,13,,20,,,25,,,,,,,,,,38,,40,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book Chapter,,,,7.16,8.2-8.3,8.6,8.7,8.8,8.9,`8.10,8.13,8.15,,,,,,,,,,,9.13,10.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legends,,New Signing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Transfer Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,
